,rank,word,count,length,adj_length,reserved
1,40,search,1024093118,6.0,6.0,1
9,79,online,601317059,6.0,6.0,1
17,104,people,480303376,6.0,6.0,1
20,116,health,440416431,6.0,6.0,1
24,133,should,402028056,6.0,6.0,1
26,135,system,396975018,6.0,6.0,1
27,141,policy,384401868,6.0,6.0,1
28,142,number,383787805,6.0,6.0,1
29,144,please,380046348,6.0,6.0,1
38,160,rights,352051342,6.0,6.0,1
39,161,public,349286123,6.0,6.0,1
41,164,school,343057316,6.0,6.0,1
44,170,review,339067778,6.0,6.0,1
62,209,united,299280163,6.0,6.0,1
65,215,center,294319118,6.0,6.0,1
67,219,travel,287719294,6.0,6.0,1
70,223,report,286237372,6.0,6.0,1
71,225,member,283858893,6.0,6.0,1
74,229,before,277546019,6.0,6.0,1
75,230,hotels,275510917,6.0,6.0,1
82,240,office,266789622,6.0,6.0,1
85,244,design,264448339,6.0,6.0,1
86,246,posted,263851272,6.0,6.0,1
90,250,within,261390908,6.0,6.0,1
91,251,states,260937015,6.0,6.0,1
98,261,family,254164055,6.0,6.0,1
103,273,prices,243435728,6.0,6.0,1
116,295,sports,231864260,6.0,6.0,1
120,301,county,227567373,6.0,6.0,1
135,323,access,217986984,6.0,6.0,1
153,346,change,210601244,6.0,6.0,1
156,350,rating,207858692,6.0,6.0,1
159,354,during,206364495,6.0,6.0,1
160,356,return,205629763,6.0,6.0,1
170,368,events,201235454,6.0,6.0,1
189,397,little,187142519,6.0,6.0,1
196,406,movies,182739567,6.0,6.0,1
202,418,source,179963886,6.0,6.0,1
203,419,author,179813446,6.0,6.0,1
207,425,around,178810033,6.0,6.0,1
209,427,course,177976652,6.0,6.0,1
210,429,canada,177153952,6.0,6.0,1
214,436,credit,175916536,6.0,6.0,1
221,449,estate,169256248,6.0,6.0,1
223,452,select,168673045,6.0,6.0,1
225,454,photos,167827453,6.0,6.0,1
226,456,thread,167518537,6.0,6.0,1
235,469,market,162390150,6.0,6.0,1
237,471,really,162033390,6.0,6.0,1
238,472,action,162023431,6.0,6.0,1
240,474,series,161518557,6.0,6.0,1
247,485,second,159343399,6.0,6.0,1
250,490,forums,158410645,6.0,6.0,1
253,494,better,157079378,6.0,6.0,1
258,502,friend,154527125,6.0,6.0,1
259,505,server,153788544,6.0,6.0,1
267,517,issues,150106274,6.0,6.0,1
272,522,street,149130754,6.0,6.0,1
276,526,things,147969893,6.0,6.0,1
280,531,person,146749448,6.0,6.0,1
282,533,mobile,145490029,6.0,6.0,1
289,544,offers,142087909,6.0,6.0,1
292,547,recent,141765729,6.0,6.0,1
293,549,stores,141210433,6.0,6.0,1
295,555,memory,140479833,6.0,6.0,1
297,557,social,139566375,6.0,6.0,1
298,559,august,139459917,6.0,6.0,1
305,567,create,137071122,6.0,6.0,1
311,577,single,134754203,6.0,6.0,1
317,587,latest,131952173,6.0,6.0,1
324,601,status,128994593,6.0,6.0,1
325,602,browse,128740445,6.0,6.0,1
329,606,seller,127768853,6.0,6.0,1
332,609,always,127634767,6.0,6.0,1
333,610,result,127425045,6.0,6.0,1
338,618,groups,125814267,6.0,6.0,1
346,629,making,124198695,6.0,6.0,1
355,640,future,121844371,6.0,6.0,1
360,647,london,121079315,6.0,6.0,1
363,651,become,120495036,6.0,6.0,1
370,661,garden,119014988,6.0,6.0,1
376,667,listed,117951402,6.0,6.0,1
378,670,energy,117451031,6.0,6.0,1
387,686,images,113788074,6.0,6.0,1
389,688,notice,113691786,6.0,6.0,1
400,705,others,111397714,6.0,6.0,1
403,708,format,111279626,6.0,6.0,1
406,711,months,111192257,6.0,6.0,1
