,rank,word,count,length,adj_length,reserved
0,35,about,1226734006,5.0,5.0,1
2,45,other,978481319,5.0,5.0,1
4,56,which,810514085,5.0,5.0,1
5,57,their,782849411,5.0,5.0,1
6,62,there,701170205,5.0,5.0,1
10,82,first,578161543,5.0,5.0,1
11,85,would,572644147,5.0,5.0,1
13,92,these,541003982,5.0,5.0,1
14,93,click,536746424,5.0,5.0,1
16,100,price,501651226,5.0,5.0,1
18,110,state,453104133,5.0,5.0,1
19,114,email,443949646,5.0,5.0,1
21,118,world,431934249,5.0,5.0,1
23,128,music,414028837,5.0,5.0,1
34,149,after,372948094,5.0,5.0,1
36,155,video,365410017,5.0,5.0,1
37,158,where,360468339,5.0,5.0,1
40,162,books,347710184,5.0,5.0,1
43,168,links,339926541,5.0,5.0,1
45,171,years,337841309,5.0,5.0,1
46,172,order,336631187,5.0,5.0,1
48,176,items,330505325,5.0,5.0,1
50,180,group,321842984,5.0,5.0,1
51,189,under,313296421,5.0,5.0,1
58,201,games,305930896,5.0,5.0,1
60,207,could,302311431,5.0,5.0,1
61,208,great,301487430,5.0,5.0,1
63,210,hotel,297974790,5.0,5.0,1
66,218,store,291308910,5.0,5.0,1
73,228,terms,277705910,5.0,5.0,1
76,233,right,273620358,5.0,5.0,1
78,236,local,270742935,5.0,5.0,1
79,237,those,270014141,5.0,5.0,1
80,238,using,269448880,5.0,5.0,1
92,254,phone,256643812,5.0,5.0,1
97,260,forum,254478181,5.0,5.0,1
99,264,based,252405204,5.0,5.0,1
100,270,black,244690155,5.0,5.0,1
101,271,check,244491090,5.0,5.0,1
105,275,index,242826246,5.0,5.0,1
106,276,being,242783091,5.0,5.0,1
107,277,women,242520455,5.0,5.0,1
108,283,today,239271204,5.0,5.0,1
110,285,south,238581133,5.0,5.0,1
112,289,pages,234001114,5.0,5.0,1
115,294,found,232005894,5.0,5.0,1
117,296,house,231310420,5.0,5.0,1
122,303,photo,227125249,5.0,5.0,1
124,306,power,226596368,5.0,5.0,1
125,307,while,226194991,5.0,5.0,1
129,313,three,223417394,5.0,5.0,1
130,314,total,222649459,5.0,5.0,1
131,315,place,220970235,5.0,5.0,1
136,324,think,217856550,5.0,5.0,1
137,325,north,217809513,5.0,5.0,1
140,328,posts,216822128,5.0,5.0,1
141,330,media,216432510,5.0,5.0,1
143,333,water,215178488,5.0,5.0,1
147,339,since,214302926,5.0,5.0,1
149,341,guide,213378807,5.0,5.0,1
151,344,board,212361059,5.0,5.0,1
154,347,white,209863729,5.0,5.0,1
155,349,small,208371878,5.0,5.0,1
164,361,times,202950880,5.0,5.0,1
165,362,sites,202755734,5.0,5.0,1
166,363,level,202563642,5.0,5.0,1
171,374,hours,198242904,5.0,5.0,1
172,375,image,197874283,5.0,5.0,1
174,377,title,196676017,5.0,5.0,1
178,385,shall,191963867,5.0,5.0,1
180,387,class,191087771,5.0,5.0,1
181,389,still,190433487,5.0,5.0,1
182,390,money,190205072,5.0,5.0,1
184,392,every,189325890,5.0,5.0,1
190,398,visit,187062316,5.0,5.0,1
191,400,tools,185555874,5.0,5.0,1
192,402,reply,184777992,5.0,5.0,1
199,409,value,182061247,5.0,5.0,1
205,421,press,179652730,5.0,5.0,1
206,423,learn,179428286,5.0,5.0,1
208,426,print,178250872,5.0,5.0,1
212,433,stock,176295589,5.0,5.0,1
215,437,point,175527859,5.0,5.0,1
219,444,sales,173244220,5.0,5.0,1
228,461,large,165863763,5.0,5.0,1
230,463,table,165341452,5.0,5.0,1
239,473,start,161913408,5.0,5.0,1
241,475,model,161205740,5.0,5.0,1
244,480,human,160573748,5.0,5.0,1
249,489,movie,158421100,5.0,5.0,1
251,491,march,158281269,5.0,5.0,1
255,498,yahoo,155733641,5.0,5.0,1
256,499,going,155284081,5.0,5.0,1
260,507,study,152978354,5.0,5.0,1
262,510,staff,151553180,5.0,5.0,1
265,514,again,150781416,5.0,5.0,1
268,518,april,149976767,5.0,5.0,1
269,519,never,149556758,5.0,5.0,1
270,520,users,149320234,5.0,5.0,1
273,523,topic,149001702,5.0,5.0,1
281,532,below,145701629,5.0,5.0,1
283,537,party,144707500,5.0,5.0,1
286,540,login,144200144,5.0,5.0,1
290,545,legal,142048771,5.0,5.0,1
291,546,above,141894620,5.0,5.0,1
299,560,quote,139242226,5.0,5.0,1
301,562,story,138433809,5.0,5.0,1
304,566,rates,137089538,5.0,5.0,1
306,570,young,136341684,5.0,5.0,1
309,573,field,135289140,5.0,5.0,1
310,576,paper,134939426,5.0,5.0,1
314,583,girls,132325396,5.0,5.0,1
321,593,night,130531484,5.0,5.0,1
322,596,texas,129399241,5.0,5.0,1
323,600,poker,129054826,5.0,5.0,1
326,603,issue,128427156,5.0,5.0,1
327,604,range,128314924,5.0,5.0,1
330,607,court,127719981,5.0,5.0,1
334,611,audio,127014703,5.0,5.0,1
335,612,light,126699632,5.0,5.0,1
336,613,write,126645151,5.0,5.0,1
337,616,offer,126228968,5.0,5.0,1
339,621,given,125542966,5.0,5.0,1
340,622,files,125524478,5.0,5.0,1
341,623,event,125515260,5.0,5.0,1
345,628,china,124472054,5.0,5.0,1
348,631,needs,123595776,5.0,5.0,1
350,633,might,123196001,5.0,5.0,1
352,636,month,123027963,5.0,5.0,1
353,637,major,122592252,5.0,5.0,1
354,639,areas,121986327,5.0,5.0,1
356,641,space,121505269,5.0,5.0,1
358,645,cards,121094522,5.0,5.0,1
365,654,child,119747393,5.0,5.0,1
366,656,enter,119394206,5.0,5.0,1
368,659,share,119294241,5.0,5.0,1
373,664,added,118410414,5.0,5.0,1
391,692,radio,113285624,5.0,5.0,1
392,693,until,113090086,5.0,5.0,1
393,695,color,112965658,5.0,5.0,1
396,700,track,112385243,5.0,5.0,1
404,709,least,111229798,5.0,5.0,1
409,717,trade,110086585,5.0,5.0,1
418,729,david,109067044,5.0,5.0,1
420,732,green,108287905,5.0,5.0,1
422,734,close,107853068,5.0,5.0,1
424,736,drive,107799371,5.0,5.0,1
430,745,short,106755242,5.0,5.0,1
435,753,means,105946662,5.0,5.0,1
437,755,daily,105837757,5.0,5.0,1
438,756,beach,105642682,5.0,5.0,1
461,790,costs,101090970,5.0,5.0,1
462,791,style,101024266,5.0,5.0,1
463,793,front,100886343,5.0,5.0,1
466,796,parts,100637505,5.0,5.0,1
468,800,early,100013194,5.0,5.0,1
469,801,miles,100012522,5.0,5.0,1
470,802,sound,100010833,5.0,5.0,1
476,810,works,98581698,5.0,5.0,1
