,rank,word,count,length,adj_length,reserved
351,634,professional,123162607,12.0,12.0,1
473,805,applications,99324182,12.0,12.0,1
487,824,requirements,97233632,12.0,12.0,1
540,903,construction,88770071,12.0,12.0,1
618,1003,availability,80583907,12.0,12.0,1
667,1069,organization,75604082,12.0,12.0,1
744,1180,registration,68025615,12.0,12.0,1
775,1218,distribution,66074142,12.0,12.0,1
852,1321,publications,61502285,12.0,12.0,1
865,1337,introduction,61004175,12.0,12.0,1
919,1407,technologies,58222418,12.0,12.0,1
925,1413,manufacturer,58125159,12.0,12.0,1
1096,1645,instructions,50405472,12.0,12.0,1
1146,1714,relationship,47959756,12.0,12.0,1
1231,1826,installation,44936390,12.0,12.0,1
1320,1939,particularly,42160203,12.0,12.0,1
1337,1968,architecture,41474428,12.0,12.0,1
1488,2160,presentation,37387206,12.0,12.0,1
1501,2176,pennsylvania,37039579,12.0,12.0,1
1617,2316,institutions,34727059,12.0,12.0,1
1779,2525,intelligence,31533328,12.0,12.0,1
1833,2598,participants,30557763,12.0,12.0,1
1860,2630,philadelphia,30179898,12.0,12.0,1
1945,2736,collectibles,29127157,12.0,12.0,1
2049,2868,subscription,27310399,12.0,12.0,1
2051,2870,contemporary,27284246,12.0,12.0,1
2119,2961,prescription,26233858,12.0,12.0,1
2125,2970,specifically,26114063,12.0,12.0,1
2129,2976,conservation,26038344,12.0,12.0,1
2156,3014,certificates,25635619,12.0,12.0,1
2167,3029,encyclopedia,25451297,12.0,12.0,1
2200,3069,reservations,25091131,12.0,12.0,1
2221,3098,compensation,24789716,12.0,12.0,1
2249,3127,agricultural,24509113,12.0,12.0,1
2277,3163,transmission,24204527,12.0,12.0,1
2294,3185,neighborhood,24047400,12.0,12.0,1
2382,3293,transactions,23104294,12.0,12.0,1
2448,3373,organisation,22507728,12.0,12.0,1
2648,3625,contribution,20468734,12.0,12.0,1
2653,3630,constitution,20433489,12.0,12.0,1
2659,3639,consultation,20345250,12.0,12.0,1
2732,3728,satisfaction,19684544,12.0,12.0,1
2742,3739,intellectual,19591717,12.0,12.0,1
2767,3768,experimental,19364822,12.0,12.0,1
2797,3801,notification,19120218,12.0,12.0,1
2832,3843,universities,18884161,12.0,12.0,1
2848,3860,improvements,18727612,12.0,12.0,1
2862,3878,arrangements,18634535,12.0,12.0,1
2946,3977,successfully,18026184,12.0,12.0,1
2954,3987,capabilities,17973932,12.0,12.0,1
3027,4082,collectables,17382903,12.0,12.0,1
3052,4118,descriptions,17257437,12.0,12.0,1
3104,4176,commissioner,16917046,12.0,12.0,1
3111,4184,respectively,16844502,12.0,12.0,1
3139,4216,productivity,16669964,12.0,12.0,1
3159,4238,incorporated,16533500,12.0,12.0,1
3206,4304,disabilities,16198516,12.0,12.0,1
3228,4335,optimization,16067890,12.0,12.0,1
3237,4344,restrictions,16033947,12.0,12.0,1
3266,4378,developments,15890766,12.0,12.0,1
3268,4381,destinations,15877446,12.0,12.0,1
3318,4441,championship,15559558,12.0,12.0,1
3339,4463,testimonials,15457627,12.0,12.0,1
3393,4526,observations,15118474,12.0,12.0,1
3436,4581,associations,14933216,12.0,12.0,1
3449,4599,conservative,14852075,12.0,12.0,1
3503,4673,measurements,14571657,12.0,12.0,1
3526,4701,expectations,14423121,12.0,12.0,1
3527,4702,independence,14412277,12.0,12.0,1
3629,4826,announcement,13951272,12.0,12.0,1
3699,4915,implementing,13588118,12.0,12.0,1
3711,4931,conversation,13527150,12.0,12.0,1
3732,4954,reproduction,13443395,12.0,12.0,1
3752,4984,environments,13331567,12.0,12.0,1
3761,4998,consequences,13267090,12.0,12.0,1
3779,5019,implications,13188157,12.0,12.0,1
3785,5025,intermediate,13162056,12.0,12.0,1
3913,5189,jurisdiction,12657881,12.0,12.0,1
3956,5240,alternatives,12512859,12.0,12.0,1
3961,5246,personalized,12495791,12.0,12.0,1
3963,5250,conditioning,12490899,12.0,12.0,1
3971,5262,partnerships,12453817,12.0,12.0,1
3974,5265,increasingly,12442507,12.0,12.0,1
3981,5272,conventional,12426348,12.0,12.0,1
3993,5286,occupational,12368358,12.0,12.0,1
4028,5334,representing,12219202,12.0,12.0,1
4042,5353,confirmation,12157725,12.0,12.0,1
4077,5395,interactions,12030927,12.0,12.0,1
4086,5405,intervention,12006519,12.0,12.0,1
4092,5412,modification,11994630,12.0,12.0,1
4119,5445,metropolitan,11896215,12.0,12.0,1
4121,5447,verification,11890283,12.0,12.0,1
4155,5493,demonstrated,11721030,12.0,12.0,1
4158,5496,alphabetical,11717970,12.0,12.0,1
4178,5524,photographer,11637896,12.0,12.0,1
4214,5568,bibliography,11483881,12.0,12.0,1
4234,5593,jacksonville,11419276,12.0,12.0,1
4236,5595,headquarters,11414484,12.0,12.0,1
4283,5650,commonwealth,11231405,12.0,12.0,1
4364,5752,mathematical,10971768,12.0,12.0,1
4371,5760,indianapolis,10951797,12.0,12.0,1
4373,5763,corporations,10945498,12.0,12.0,1
4377,5767,confidential,10937497,12.0,12.0,1
4454,5865,establishing,10709113,12.0,12.0,1
4472,5889,broadcasting,10660304,12.0,12.0,1
4502,5921,coordination,10601328,12.0,12.0,1
4527,5952,considerable,10518680,12.0,12.0,1
4545,5974,difficulties,10456103,12.0,12.0,1
4551,5982,presidential,10430695,12.0,12.0,1
4584,6024,surveillance,10332765,12.0,12.0,1
4662,6122,connectivity,10113914,12.0,12.0,1
4714,6191,significance,9974078,12.0,12.0,1
4747,6231,expenditures,9900734,12.0,12.0,1
4821,6325,occasionally,9674433,12.0,12.0,1
4861,6374,consolidated,9557816,12.0,12.0,1
4926,6459,preservation,9427816,12.0,12.0,1
4966,6500,governmental,9346318,12.0,12.0,1
4967,6501,manufactured,9345751,12.0,12.0,1
4990,6529,unemployment,9291396,12.0,12.0,1
5003,6542,performances,9272429,12.0,12.0,1
5038,6588,scholarships,9190488,12.0,12.0,1
5039,6589,recreational,9183129,12.0,12.0,1
5083,6640,downloadable,9100404,12.0,12.0,1
5090,6649,laboratories,9087221,12.0,12.0,1
5135,6704,perspectives,8983024,12.0,12.0,1
5160,6733,contributors,8924784,12.0,12.0,1
5166,6742,temperatures,8913207,12.0,12.0,1
5169,6745,competitions,8912029,12.0,12.0,1
5186,6766,christianity,8886615,12.0,12.0,1
5193,6773,negotiations,8877079,12.0,12.0,1
5209,6793,photographic,8830744,12.0,12.0,1
5255,6846,additionally,8737401,12.0,12.0,1
5313,6912,differential,8617224,12.0,12.0,1
5330,6931,nevertheless,8587591,12.0,12.0,1
5358,6969,distributors,8531840,12.0,12.0,1
5385,7000,illustration,8483700,12.0,12.0,1
5487,7127,contributing,8273017,12.0,12.0,1
5509,7153,transexuales,8234877,12.0,12.0,1
5537,7188,saskatchewan,8186212,12.0,12.0,1
5538,7190,cancellation,8183513,12.0,12.0,1
5579,7237,spirituality,8110292,12.0,12.0,1
5655,7334,calculations,7949423,12.0,12.0,1
5665,7349,accomplished,7928651,12.0,12.0,1
5731,7428,shareholders,7816480,12.0,12.0,1
5789,7498,subcommittee,7695207,12.0,12.0,1
5895,7631,periodically,7513935,12.0,12.0,1
5929,7668,masturbating,7453955,12.0,12.0,1
5971,7725,administered,7379068,12.0,12.0,1
6002,7770,pharmacology,7313571,12.0,12.0,1
6010,7779,consistently,7304456,12.0,12.0,1
6018,7790,appreciation,7290884,12.0,12.0,1
6019,7791,subsequently,7290235,12.0,12.0,1
6119,7918,individually,7129413,12.0,12.0,1
6138,7942,geographical,7097027,12.0,12.0,1
6190,8009,conferencing,7008203,12.0,12.0,1
6243,8070,investigator,6922557,12.0,12.0,1
6258,8088,entrepreneur,6902698,12.0,12.0,1
6277,8110,consequently,6878129,12.0,12.0,1
6281,8114,appointments,6872540,12.0,12.0,1
6292,8127,quantitative,6856307,12.0,12.0,1
6295,8130,screensavers,6854686,12.0,12.0,1
6341,8184,satisfactory,6785226,12.0,12.0,1
6391,8241,instrumental,6724375,12.0,12.0,1
6407,8263,translations,6694010,12.0,12.0,1
6415,8275,thanksgiving,6676568,12.0,12.0,1
6451,8328,stakeholders,6624570,12.0,12.0,1
6559,8470,participated,6474500,12.0,12.0,1
6578,8497,combinations,6451955,12.0,12.0,1
6674,8618,entertaining,6330073,12.0,12.0,1
6675,8619,prerequisite,6329988,12.0,12.0,1
6693,8640,enhancements,6307063,12.0,12.0,1
6695,8642,intersection,6304801,12.0,12.0,1
6713,8667,supplemental,6271983,12.0,12.0,1
6752,8713,interference,6209872,12.0,12.0,1
6792,8769,civilization,6143054,12.0,12.0,1
6841,8824,newfoundland,6082223,12.0,12.0,1
6843,8829,investigated,6077280,12.0,12.0,1
6850,8838,findarticles,6066519,12.0,12.0,1
6933,8941,acknowledged,5979804,12.0,12.0,1
6961,8977,techrepublic,5944800,12.0,12.0,1
6986,9014,unauthorized,5918928,12.0,12.0,1
6996,9028,demonstrates,5902304,12.0,12.0,1
7111,9178,specializing,5763389,12.0,12.0,1
7127,9197,reproductive,5743545,12.0,12.0,1
7135,9207,refrigerator,5726901,12.0,12.0,1
7183,9268,accompanying,5681015,12.0,12.0,1
7200,9290,anthropology,5661140,12.0,12.0,1
7236,9334,humanitarian,5621464,12.0,12.0,1
7250,9348,continuously,5610397,12.0,12.0,1
7254,9353,achievements,5607204,12.0,12.0,1
7288,9397,introductory,5567853,12.0,12.0,1
7301,9414,disciplinary,5549568,12.0,12.0,1
7324,9437,hypothetical,5532893,12.0,12.0,1
7345,9462,dramatically,5507401,12.0,12.0,1
7359,9479,fundamentals,5488781,12.0,12.0,1
7363,9484,masturbation,5484672,12.0,12.0,1
7427,9560,practitioner,5411869,12.0,12.0,1
7440,9577,dictionaries,5399149,12.0,12.0,1
7446,9584,transparency,5393362,12.0,12.0,1
7481,9626,municipality,5355008,12.0,12.0,1
7486,9632,experiencing,5347507,12.0,12.0,1
7539,9703,disappointed,5284061,12.0,12.0,1
7551,9716,acquisitions,5270178,12.0,12.0,1
7556,9724,biodiversity,5265501,12.0,12.0,1
7571,9740,subsidiaries,5250152,12.0,12.0,1
7676,9876,examinations,5146222,12.0,12.0,1
7683,9883,departmental,5141504,12.0,12.0,1
7717,9924,sufficiently,5116122,12.0,12.0,1
7766,9983,infringement,5070438,12.0,12.0,1
7966,10215,considerably,4887058,12.0,12.0,1
7976,10227,northwestern,4875705,12.0,12.0,1
7985,10241,insufficient,4869704,12.0,12.0,1
8008,10267,concentrated,4848674,12.0,12.0,1
8121,10400,manipulation,4744083,12.0,12.0,1
8150,10435,kindergarten,4726688,12.0,12.0,1
8159,10448,postgraduate,4718198,12.0,12.0,1
8175,10467,evolutionary,4704879,12.0,12.0,1
8195,10488,turkmenistan,4690331,12.0,12.0,1
8306,10631,discontinued,4589346,12.0,12.0,1
8346,10677,motherboards,4567884,12.0,12.0,1
8427,10787,inaccuracies,4490358,12.0,12.0,1
8442,10806,demographics,4482753,12.0,12.0,1
8468,10839,transvestite,4459432,12.0,12.0,1
8471,10842,continuation,4457196,12.0,12.0,1
8482,10855,explanations,4447236,12.0,12.0,1
8488,10861,biochemistry,4443075,12.0,12.0,1
8506,10889,epidemiology,4427168,12.0,12.0,1
8515,10898,contaminated,4421206,12.0,12.0,1
8549,10939,dissertation,4391498,12.0,12.0,1
8558,10949,celebrations,4383919,12.0,12.0,1
8581,10976,surprisingly,4366827,12.0,12.0,1
8660,11071,microsystems,4307141,12.0,12.0,1
8719,11141,ticketmaster,4259341,12.0,12.0,1
8756,11190,coordinating,4234379,12.0,12.0,1
8778,11217,rechargeable,4223372,12.0,12.0,1
8844,11292,commencement,4179071,12.0,12.0,1
8845,11293,southwestern,4178986,12.0,12.0,1
8853,11302,hypertension,4172902,12.0,12.0,1
8881,11336,snowboarding,4150805,12.0,12.0,1
8891,11347,historically,4143489,12.0,12.0,1
8897,11356,microbiology,4137858,12.0,12.0,1
8922,11388,transitional,4118474,12.0,12.0,1
8924,11390,acceleration,4118345,12.0,12.0,1
8964,11440,substitution,4083235,12.0,12.0,1
8974,11451,overwhelming,4077983,12.0,12.0,1
8976,11454,standardized,4076813,12.0,12.0,1
8991,11474,accumulation,4064397,12.0,12.0,1
9017,11513,commissioned,4041679,12.0,12.0,1
