,rank,word,count,length,adj_length,reserved
64,214,international,295639201,13.0,13.0,1
401,706,entertainment,111394818,13.0,13.0,1
606,989,environmental,81596309,13.0,13.0,1
715,1143,opportunities,70033623,13.0,13.0,1
800,1256,communication,64378554,13.0,13.0,1
874,1348,accommodation,60589803,13.0,13.0,1
1002,1521,organizations,54146984,13.0,13.0,1
1115,1669,understanding,49391366,13.0,13.0,1
1268,1875,documentation,43872031,13.0,13.0,1
1304,1917,announcements,42578510,13.0,13.0,1
1352,1987,manufacturing,40781457,13.0,13.0,1
1481,2150,configuration,37589833,13.0,13.0,1
1483,2153,comprehensive,37544399,13.0,13.0,1
1559,2247,approximately,35797333,13.0,13.0,1
1590,2284,automatically,35225937,13.0,13.0,1
1620,2321,advertisement,34681267,13.0,13.0,1
1655,2364,manufacturers,34073462,13.0,13.0,1
1692,2409,professionals,33070733,13.0,13.0,1
1720,2445,miscellaneous,32502581,13.0,13.0,1
1737,2470,massachusetts,32270027,13.0,13.0,1
1885,2661,relationships,29850322,13.0,13.0,1
1914,2696,administrator,29589707,13.0,13.0,1
1993,2801,participation,28366095,13.0,13.0,1
2031,2844,certification,27708503,13.0,13.0,1
2261,3142,investigation,24399851,13.0,13.0,1
2313,3208,circumstances,23915696,13.0,13.0,1
2508,3448,contributions,21879064,13.0,13.0,1
2549,3499,consideration,21533734,13.0,13.0,1
2631,3603,significantly,20660846,13.0,13.0,1
2770,3771,consolidation,19338827,13.0,13.0,1
2815,3823,accessibility,19002278,13.0,13.0,1
2839,3850,subscriptions,18779200,13.0,13.0,1
2850,3862,specification,18707636,13.0,13.0,1
2969,4008,organisations,17802139,13.0,13.0,1
3006,4056,collaboration,17567373,13.0,13.0,1
3051,4117,corresponding,17260560,13.0,13.0,1
3055,4122,determination,17237730,13.0,13.0,1
3110,4183,unfortunately,16863887,13.0,13.0,1
3218,4320,concentration,16134918,13.0,13.0,1
3238,4345,participating,16019942,13.0,13.0,1
3405,4541,establishment,15070667,13.0,13.0,1
3418,4557,presentations,15018777,13.0,13.0,1
3428,4572,undergraduate,14975214,13.0,13.0,1
3452,4602,effectiveness,14838707,13.0,13.0,1
3525,4700,institutional,14424194,13.0,13.0,1
3780,5020,functionality,13187557,13.0,13.0,1
4216,5570,compatibility,11467191,13.0,13.0,1
4479,5896,informational,10645899,13.0,13.0,1
4618,6070,architectural,10225722,13.0,13.0,1
4633,6087,authorization,10187414,13.0,13.0,1
4645,6104,psychological,10159161,13.0,13.0,1
4671,6135,collaborative,10064088,13.0,13.0,1
4829,6338,instructional,9650006,13.0,13.0,1
4835,6345,biotechnology,9631572,13.0,13.0,1
4938,6471,technological,9404975,13.0,13.0,1
4965,6499,demonstration,9347680,13.0,13.0,1
5084,6641,sophisticated,9100034,13.0,13.0,1
5121,6688,vulnerability,9013560,13.0,13.0,1
5201,6784,congressional,8848585,13.0,13.0,1
5215,6799,modifications,8819107,13.0,13.0,1
5324,6924,starsmerchant,8600292,13.0,13.0,1
5336,6938,practitioners,8572140,13.0,13.0,1
5368,6981,extraordinary,8513936,13.0,13.0,1
5471,7108,photographers,8306260,13.0,13.0,1
5483,7121,possibilities,8279533,13.0,13.0,1
5634,7308,semiconductor,7994769,13.0,13.0,1
5641,7316,illustrations,7987303,13.0,13.0,1
5646,7323,substantially,7973137,13.0,13.0,1
5698,7391,inappropriate,7854984,13.0,13.0,1
5727,7424,distinguished,7819407,13.0,13.0,1
5733,7430,developmental,7812620,13.0,13.0,1
5783,7491,notifications,7712209,13.0,13.0,1
5923,7661,independently,7464079,13.0,13.0,1
5941,7685,consciousness,7431877,13.0,13.0,1
6037,7812,transcription,7265470,13.0,13.0,1
6039,7815,complications,7261846,13.0,13.0,1
6093,7883,distributions,7172968,13.0,13.0,1
6149,7959,championships,7072912,13.0,13.0,1
6214,8035,precipitation,6980701,13.0,13.0,1
6250,8080,mediterranean,6908392,13.0,13.0,1
6342,8185,revolutionary,6784780,13.0,13.0,1
6382,8231,accreditation,6733072,13.0,13.0,1
6481,8369,parliamentary,6572284,13.0,13.0,1
6510,8404,questionnaire,6539764,13.0,13.0,1
6511,8405,qualification,6537637,13.0,13.0,1
6557,8468,computational,6475374,13.0,13.0,1
6942,8952,characterized,5965898,13.0,13.0,1
7027,9066,conversations,5859623,13.0,13.0,1
7042,9081,bibliographic,5844300,13.0,13.0,1
7150,9226,investigators,5712386,13.0,13.0,1
7326,9439,complimentary,5530978,13.0,13.0,1
7360,9480,contamination,5488731,13.0,13.0,1
7384,9507,alternatively,5469870,13.0,13.0,1
7394,9519,controversial,5460493,13.0,13.0,1
7421,9553,installations,5417492,13.0,13.0,1
7546,9710,entrepreneurs,5275312,13.0,13.0,1
7592,9768,commissioners,5225913,13.0,13.0,1
7632,9823,interventions,5187635,13.0,13.0,1
7710,9916,restructuring,5119935,13.0,13.0,1
7731,9942,liechtenstein,5103569,13.0,13.0,1
7755,9970,strengthening,5079049,13.0,13.0,1
7841,10070,complementary,4998758,13.0,13.0,1
7940,10187,reimbursement,4904547,13.0,13.0,1
7967,10216,investigating,4884687,13.0,13.0,1
8135,10418,neighborhoods,4735936,13.0,13.0,1
8174,10465,incorporation,4707178,13.0,13.0,1
8207,10503,appropriately,4679967,13.0,13.0,1
8223,10522,traditionally,4654828,13.0,13.0,1
8265,10577,objectionable,4624110,13.0,13.0,1
8311,10636,globalization,4587681,13.0,13.0,1
8330,10660,inspirational,4574490,13.0,13.0,1
8336,10667,philosophical,4571852,13.0,13.0,1
8340,10671,justification,4570150,13.0,13.0,1
8485,10858,incorporating,4445305,13.0,13.0,1
8647,11052,supplementary,4320232,13.0,13.0,1
8658,11069,discrepancies,4309441,13.0,13.0,1
8714,11136,consultations,4261175,13.0,13.0,1
8724,11147,prescriptions,4257387,13.0,13.0,1
8819,11265,dissemination,4193540,13.0,13.0,1
8874,11327,conservatives,4159750,13.0,13.0,1
8902,11362,communicating,4134095,13.0,13.0,1
8930,11397,visualization,4114476,13.0,13.0,1
9043,11545,prerequisites,4026193,13.0,13.0,1
9298,11858,appropriation,3844753,13.0,13.0,1
9319,11886,proliferation,3829964,13.0,13.0,1
9370,11954,approximation,3798341,13.0,13.0,1
9384,11970,correspondent,3786622,13.0,13.0,1
9440,12039,beneficiaries,3753008,13.0,13.0,1
9445,12045,uncategorized,3747762,13.0,13.0,1
9460,12061,clarification,3741132,13.0,13.0,1
9517,12136,abbreviations,3703739,13.0,13.0,1
9566,12193,computerworld,3675276,13.0,13.0,1
9677,12332,neighbourhood,3616133,13.0,13.0,1
9686,12343,jurisdictions,3613001,13.0,13.0,1
9881,12585,personalities,3493064,13.0,13.0,1
9969,12685,customization,3450194,13.0,13.0,1
10056,12791,autobiography,3411910,13.0,13.0,1
10123,12867,architectures,3374071,13.0,13.0,1
10155,12908,statistically,3360392,13.0,13.0,1
10196,12954,demonstrating,3345093,13.0,13.0,1
10209,12972,profitability,3335983,13.0,13.0,1
10248,13020,grandchildren,3315507,13.0,13.0,1
10257,13030,introductions,3310245,13.0,13.0,1
10421,13234,physiological,3232417,13.0,13.0,1
10426,13240,unprecedented,3231001,13.0,13.0,1
10490,13314,knowledgeable,3203632,13.0,13.0,1
10548,13381,registrations,3177147,13.0,13.0,1
10552,13385,transvestites,3174082,13.0,13.0,1
10564,13399,chronological,3169265,13.0,13.0,1
10610,13454,encouragement,3146451,13.0,13.0,1
10612,13456,disadvantages,3146043,13.0,13.0,1
10753,13637,methodologies,3078109,13.0,13.0,1
10776,13665,multicultural,3066342,13.0,13.0,1
10803,13695,refrigeration,3053488,13.0,13.0,1
10931,13844,uncomfortable,2989842,13.0,13.0,1
10959,13877,staffordshire,2979491,13.0,13.0,1
11102,14059,reconditioned,2914457,13.0,13.0,1
11123,14083,enlightenment,2905016,13.0,13.0,1
11170,14134,disadvantaged,2889348,13.0,13.0,1
11202,14181,comprehension,2870530,13.0,13.0,1
11279,14274,uncertainties,2835124,13.0,13.0,1
11311,14315,redevelopment,2820529,13.0,13.0,1
11350,14365,investigative,2805050,13.0,13.0,1
11361,14379,breastfeeding,2799335,13.0,13.0,1
11460,14495,hertfordshire,2761736,13.0,13.0,1
11705,14784,inconvenience,2667872,13.0,13.0,1
11883,14990,decomposition,2608915,13.0,13.0,1
11911,15022,predominantly,2594198,13.0,13.0,1
11960,15085,applicability,2577161,13.0,13.0,1
12062,15228,administering,2536998,13.0,13.0,1
12181,15369,privatization,2497240,13.0,13.0,1
12245,15444,intentionally,2476029,13.0,13.0,1
12322,15538,interpersonal,2451102,13.0,13.0,1
12357,15578,redistributed,2435259,13.0,13.0,1
12457,15707,transmissions,2400730,13.0,13.0,1
12486,15746,homosexuality,2392550,13.0,13.0,1
12509,15771,disappointing,2386364,13.0,13.0,1
12525,15787,schizophrenia,2383269,13.0,13.0,1
12615,15903,stabilization,2355377,13.0,13.0,1
12617,15905,authoritative,2355249,13.0,13.0,1
12707,16021,consequential,2325659,13.0,13.0,1
12781,16105,multinational,2304039,13.0,13.0,1
12851,16191,mitochondrial,2284771,13.0,13.0,1
12869,16212,probabilities,2278966,13.0,13.0,1
12891,16241,exceptionally,2272954,13.0,13.0,1
12911,16261,interestingly,2268970,13.0,13.0,1
13012,16399,retrospective,2239656,13.0,13.0,1
13038,16431,reproductions,2232254,13.0,13.0,1
13086,16487,discretionary,2221521,13.0,13.0,1
13140,16558,merchandising,2205545,13.0,13.0,1
13146,16564,pronunciation,2203941,13.0,13.0,1
13216,16651,fundamentally,2184344,13.0,13.0,1
13285,16734,clearinghouse,2168182,13.0,13.0,1
13407,16894,reinforcement,2132508,13.0,13.0,1
13411,16898,psychotherapy,2131314,13.0,13.0,1
13467,16973,assassination,2116496,13.0,13.0,1
13520,17039,dehydrogenase,2098738,13.0,13.0,1
13596,17143,refrigerators,2078580,13.0,13.0,1
13710,17291,abnormalities,2046863,13.0,13.0,1
13762,17359,heterogeneous,2034451,13.0,13.0,1
13844,17458,psychologists,2012725,13.0,13.0,1
13916,17550,participatory,1994106,13.0,13.0,1
13966,17613,multifunction,1982159,13.0,13.0,1
14059,17726,skateboarding,1962882,13.0,13.0,1
14104,17781,globalisation,1954029,13.0,13.0,1
14108,17786,differentiate,1952913,13.0,13.0,1
14122,17801,righteousness,1950164,13.0,13.0,1
14126,17805,headquartered,1948865,13.0,13.0,1
14232,17943,contradiction,1924222,13.0,13.0,1
14247,17960,authenticated,1922327,13.0,13.0,1
14270,17987,unforgettable,1916237,13.0,13.0,1
14430,18180,macroeconomic,1884782,13.0,13.0,1
14526,18296,commissioning,1864475,13.0,13.0,1
14538,18310,deterioration,1861517,13.0,13.0,1
14552,18330,cancellations,1858014,13.0,13.0,1
14594,18381,thessalonians,1851255,13.0,13.0,1
14737,18562,indispensable,1820574,13.0,13.0,1
14792,18629,subcategories,1810920,13.0,13.0,1
14904,18763,contraception,1788872,13.0,13.0,1
14951,18822,confrontation,1776377,13.0,13.0,1
14957,18828,unpredictable,1775357,13.0,13.0,1
15003,18886,modernization,1766223,13.0,13.0,1
15033,18921,ophthalmology,1761676,13.0,13.0,1
15089,18986,compassionate,1750131,13.0,13.0,1
15131,19037,noncommercial,1743444,13.0,13.0,1
15142,19051,documentaries,1741319,13.0,13.0,1
15173,19091,amplification,1734413,13.0,13.0,1
15183,19102,wolverhampton,1732599,13.0,13.0,1
15245,19180,intracellular,1721340,13.0,13.0,1
15295,19242,fragmentation,1713949,13.0,13.0,1
15307,19259,carbohydrates,1711985,13.0,13.0,1
15375,19338,concentrating,1700803,13.0,13.0,1
15395,19362,optimizations,1696643,13.0,13.0,1
15446,19427,knowledgebase,1687497,13.0,13.0,1
15605,19622,transnational,1656943,13.0,13.0,1
15723,19781,employability,1635488,13.0,13.0,1
15811,19887,authorisation,1619249,13.0,13.0,1
16015,20150,endocrinology,1582526,13.0,13.0,1
16035,20174,theoretically,1580262,13.0,13.0,1
16044,20184,typographical,1578094,13.0,13.0,1
16074,20224,accompaniment,1572132,13.0,13.0,1
16110,20266,insignificant,1566578,13.0,13.0,1
16123,20282,veterinarians,1563930,13.0,13.0,1
16164,20328,telemarketing,1556849,13.0,13.0,1
16296,20487,confederation,1536984,13.0,13.0,1
16323,20519,constructions,1532063,13.0,13.0,1
16405,20619,manifestation,1520142,13.0,13.0,1
16424,20643,gravitational,1516658,13.0,13.0,1
16457,20680,substitutions,1511821,13.0,13.0,1
16578,20824,saccharomyces,1493077,13.0,13.0,1
16624,20878,constellation,1487144,13.0,13.0,1
16707,20990,strategically,1473002,13.0,13.0,1
16732,21025,extracellular,1467215,13.0,13.0,1
16754,21049,postsecondary,1464473,13.0,13.0,1
16800,21105,civilizations,1458966,13.0,13.0,1
16888,21209,collaborating,1447540,13.0,13.0,1
16902,21224,socioeconomic,1445397,13.0,13.0,1
16936,21270,congregations,1439118,13.0,13.0,1
16978,21320,unconditional,1433458,13.0,13.0,1
16982,21325,progressively,1432156,13.0,13.0,1
17007,21352,probabilistic,1429903,13.0,13.0,1
17026,21372,commemorative,1426393,13.0,13.0,1
