,rank,word,count,length,adj_length,reserved
643,1040,administration,77515175,14.0,14.0,1
785,1238,communications,65305536,14.0,14.0,1
977,1486,responsibility,55448425,14.0,14.0,1
1025,1551,transportation,53122840,14.0,14.0,1
1176,1753,implementation,46914652,14.0,14.0,1
1444,2105,administrative,38339299,14.0,14.0,1
1785,2533,specifications,31435888,14.0,14.0,1
1892,2669,representative,29810467,14.0,14.0,1
1946,2737,infrastructure,29090274,14.0,14.0,1
2316,3211,identification,23879859,14.0,14.0,1
2702,3691,classification,19930633,14.0,14.0,1
2859,3874,representation,18650172,14.0,14.0,1
2956,3990,recommendation,17950913,14.0,14.0,1
3220,4324,interpretation,16105115,14.0,14.0,1
3745,4973,rehabilitation,13370501,14.0,14.0,1
3768,5006,discrimination,13237807,14.0,14.0,1
3821,5074,authentication,12998105,14.0,14.0,1
4241,5602,transformation,11397689,14.0,14.0,1
4246,5609,administrators,11370681,14.0,14.0,1
4284,5651,pharmaceutical,11229705,14.0,14.0,1
4295,5667,organizational,11188435,14.0,14.0,1
4334,5716,qualifications,11063651,14.0,14.0,1
4379,5770,accommodations,10932659,14.0,14.0,1
4457,5869,constitutional,10699765,14.0,14.0,1
4741,6225,correspondence,9911984,14.0,14.0,1
4879,6397,considerations,9523594,14.0,14.0,1
5064,6618,investigations,9139993,14.0,14.0,1
5122,6689,accountability,9011124,14.0,14.0,1
5183,6763,concentrations,8887519,14.0,14.0,1
5867,7597,simultaneously,7550101,14.0,14.0,1
5990,7751,advertisements,7341945,14.0,14.0,1
6077,7866,reconstruction,7192366,14.0,14.0,1
6270,8103,characteristic,6889575,14.0,14.0,1
6310,8146,sustainability,6841235,14.0,14.0,1
6760,8725,knowledgestorm,6195388,14.0,14.0,1
6976,9003,appropriations,5926818,14.0,14.0,1
7048,9091,superintendent,5840171,14.0,14.0,1
7176,9260,cardiovascular,5688372,14.0,14.0,1
7779,9998,configurations,5056310,14.0,14.0,1
8091,10369,alphabetically,4764324,14.0,14.0,1
8329,10659,electronically,4575196,14.0,14.0,1
8621,11022,establishments,4340712,14.0,14.0,1
9091,11609,municipalities,3988310,14.0,14.0,1
9279,11833,reconciliation,3854902,14.0,14.0,1
9304,11864,semiconductors,3842193,14.0,14.0,1
9649,12295,demonstrations,3630982,14.0,14.0,1
10311,13097,archaeological,3287086,14.0,14.0,1
10354,13150,professionally,3264665,14.0,14.0,1
10445,13261,certifications,3221724,14.0,14.0,1
10603,13447,reserveamerica,3150310,14.0,14.0,1
10604,13448,organisational,3150004,14.0,14.0,1
10704,13572,nanotechnology,3103490,14.0,14.0,1
11936,15053,bioinformatics,2585864,14.0,14.0,1
12236,15434,redistribution,2480798,14.0,14.0,1
12318,15534,disappointment,2452388,14.0,14.0,1
12581,15862,specialization,2367296,14.0,14.0,1
12708,16022,initialization,2325157,14.0,14.0,1
12794,16125,northumberland,2300514,14.0,14.0,1
12954,16321,chromatography,2258524,14.0,14.0,1
13099,16512,cambridgeshire,2214799,14.0,14.0,1
13145,16563,reorganization,2204091,14.0,14.0,1
13546,17087,questionnaires,2089908,14.0,14.0,1
13549,17091,profileprofile,2088913,14.0,14.0,1
13630,17184,meteorological,2070017,14.0,14.0,1
13647,17206,leicestershire,2065806,14.0,14.0,1
13796,17397,systematically,2024800,14.0,14.0,1
13944,17586,understandable,1986952,14.0,14.0,1
14020,17681,worcestershire,1970957,14.0,14.0,1
14114,17793,susceptibility,1951706,14.0,14.0,1
14124,17803,discriminatory,1949265,14.0,14.0,1
14188,17890,determinations,1932467,14.0,14.0,1
14260,17976,schwarzenegger,1918820,14.0,14.0,1
